Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Асафетида,0.1,0.1,0.1,
Бедренец камнеломка,0.0,0.0,0.0,
Валериана,0.0,0.0,0.0,
Винный камень,0.0,0.0,0.0,
Вода,0.0,0.0,0.0,
Вода минеральная,0.0,0.0,0.0,
Вода содовая,0.0,0.0,0.0,
Жидкий дым,0.1,0.1,0.1,
Зубровка душистая,0.0,0.0,0.0,
Камфора,0.0,0.0,0.0,
Кола лайт,0.0,0.0,0.0,
Коньячная эссенция,0.0,0.0,0.0,
Краситель пищевой,0.0,0.0,0.0,
Лёд колотый,0.0,0.0,0.0,
Лимонная кислота,0.0,0.0,0.0,
Маклюра (Адамово яблоко),0.0,0.0,0.0,
Миндальный экстракт,0.1,0.1,0.1,
Мятная эссенция,0.0,0.0,0.0,
Напиток кофе Бургер Кинг,0.0,0.0,0.0,
Напиток чай (зеленый и черный) Бургер Кинг,0.0,0.0,0.0,
Напиток Чай чёрный/зелёный McDonalds,0.0,0.0,0.0,
Перилла,0.0,0.0,0.0,
Плоды дерева ши (карите),0.0,0.0,0.0,
Розовая эссенция,0.0,0.0,0.0,
Сахарозаменитель Fit Parad №7,0.0,0.0,0.0,
Сахарозаменитель Fit Parad №8,0.0,0.0,0.0,
Сахарозаменитель Geneticlab Fit Sweet,0.0,0.0,0.0,
Сахарозаменитель Master Shape №1,0.0,0.0,0.0,
Сахарозаменитель Sukrin Organic,0.0,0.0,100.0,
Сахарозаменитель натуральный Эритрит со стевией,0.0,0.0,0.0,
Смилакс (Сассапариль),0.0,0.0,0.0,
Сода пищевая,0.0,0.0,0.0,
Соль,0.0,0.0,0.0,
Соль йодированная,0.0,0.0,0.0,
Соль морская,0.0,0.0,0.0,
Соль сванская,0.0,0.0,0.0,
Соль чёрная пищевая Четверговая,0.0,0.0,0.0,
Уксусная эссенция 70%,0.0,0.0,0.0,
Чай зелёный,0.0,0.0,0.0,
Чай чёрный без сахара,0.1,0.0,0.0,
Бульон куриный постный,0.1,0.0,0.0,1
Жасмин,0.1,0.0,0.0,1
Листья вишни,0.0,0.0,0.1,1
Листья смородины,0.1,0.0,0.1,1
Мать-и-мачеха,0.0,0.0,0.0,1
Пачули,0.0,0.0,0.0,1
Перец водяной (горец перечный),0.1,0.1,0.1,1
Сахарозаменитель Fit Parad №1,0.0,0.0,0.2,1
Чай ромашковый,0.0,0.0,0.2,1
Бульон рыбный,0.4,0.0,0.0,2
