Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
7up,0.0,0.0,8.7,38
Actimel Вишня,2.9,1.5,11.5,74
Actimel Гранат,2.7,1.5,11.5,73
Actimel Земляника и шиповник,2.7,1.5,11.5,73
Actimel Клубника,2.7,1.5,11.5,72
Actimel Малина и клюква,2.7,1.5,11.5,72
Actimel Мультифрукт,2.7,1.5,12.0,75
Actimel Натуральный,2.8,1.6,10.5,71
Actimel Черника и ежевика,2.9,1.5,11.5,74
Exponenta High-Pro Черника-Алоэ,12.0,0.0,2.5,60
Fruttis Сливочное лакомство Клубника-Земляника,2.2,5.0,17.0,122
Neo Имунеле Natural,1.8,0.9,11.8,63
Neo Имунеле Гранат-Вишня,2.5,1.2,12.4,70
Neo Имунеле Клюква-Малина,2.5,1.2,12.6,71
Neo Имунеле Лесные ягоды,2.5,1.2,13.1,73
Абрикос,0.9,0.1,9.0,44
Абрикос консервированный,0.4,0.1,15.5,67
Абрикосовая косточка,14.0,27.7,56.3,440
Абрикосовый компот,0.5,0.0,21.0,85
Абрикосовый сок,0.9,0.1,9.0,38
Абсент,0.0,0.0,8.8,171
Авокадо,2.0,20.0,6.0,212
Агар пищевой,4.0,0.0,76.0,301
Аджика,1.0,3.7,5.8,59
Ажгон,19.7,14.5,11.9,333
Азу,11.9,14.2,10.2,214
Айва,0.6,0.5,9.8,40
Айвовый компот,0.4,0.0,20.0,79
Айвовый сок,0.5,0.0,10.6,45
Айран (тан) газированный,1.1,1.5,1.4,24
Айран (тан) из козьего молока,1.1,1.5,1.4,24
Айран (тан) негазированный,1.1,1.5,1.4,24
Айран (тан) негазированный нежирный,1.1,0.2,1.4,12
Айран (тан) с укропом и огурцом,1.1,1.0,1.4,19
Айран (тан) сильногазированный,1.1,1.0,1.4,19
Айсинг,2.3,0.0,78.8,305
Аквафаба нутовая,0.4,0.0,0.9,5
Аквафаба сублимированная Гала-Гала,6.1,0.0,14.0,84
Аки,1.0,15.0,8.0,151
Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127
Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110
Активиа Кефирная 1%,2.9,1.0,4.5,39
Активиа Кефирная 3%,2.9,3.0,3.6,53
Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97
Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97
Активиа Питьевая Ананас,2.8,2.0,12.2,77
Активиа Питьевая Бифидойогурт Классический 1.5%,3.4,1.5,4.4,45
Активиа Питьевая Вишня и чёрная смородина,2.6,2.0,12.8,81
Активиа Питьевая Злаки,2.8,2.2,12.4,81
Активиа Питьевая Клубника и земляника,2.8,2.2,12.4,81
Активиа Питьевая Малина и злаки,2.8,2.1,11.0,74
Активиа Питьевая Натуральная,3.2,2.4,4.5,52
Активиа Питьевая Тыква банан и корица,2.9,2.1,10.9,74
Активиа Питьевая Чернослив,2.8,2.0,12.8,80
Активиа Питьевая Яблоко и злаки,2.8,2.2,13.0,83
Активиа Семейная Клубника,3.9,3.2,13.6,98
Активиа Семейная Персик,3.9,3.2,13.6,98
Активиа Творожная Клубника,5.0,4.5,15.5,123
Активиа Творожная Малина,4.2,4.5,11.4,102
Активиа Творожная Мюсли,5.0,4.5,15.5,123
Активиа Творожная Мюсли и манго,4.8,4.5,14.7,119
Активиа Творожная Натуральная,5.9,4.5,3.7,79
Активиа Творожная Отруби и злаки,4.9,4.3,13.7,113
Активиа Творожная Чернослив,4.7,4.2,14.4,114
Активиа Фреш Арбуз,2.8,1.6,12.3,74
Активиа Фреш Вишня,2.8,1.6,11.0,70
Активиа Фреш Гранат и Малина,2.8,1.6,11.0,70
Активиа Фреш Манго,2.8,1.6,12.0,73
Активиа Фреш Персик,2.8,1.6,11.0,70
Актуаль на сыворотке вкус арбуза,0.5,0.1,8.6,37
Акула катран,19.9,7.0,0.0,142
Акульи плавники,21.0,4.8,0.0,130
Алыча,0.2,0.0,6.9,27
Амарант,13.6,7.0,69.0,371
Амарантовые отруби Di&Di с гречей,19.0,5.5,55.0,345
Амарантовые отруби Di&Di с ламинарией,20.4,5.1,37.0,311
Амарантовые отруби Di&Di с топинамбуром,19.0,5.5,55.0,345
Американская смесь Hortex,2.4,0.5,5.1,39
Амур белый,18.6,5.3,0.0,134
